name,Years,Origin,Sponsors
ANDREA BENÍTEZ,22," ALGECIRAS, CÁDIZ"," Imagine skateboards, asiplanchaba"
Aaron Maroño Murias,8, A Coruña, Maroña Wheels y Escuela Skate Maroña Indoor
ABRAAO FILIPE SILVA,27," BRASIL, ACTUALMENTE BARCELONA"," Tuskate ,  4base"
ABRAHAM RODRÍGUEZ GONZÁLEZ ( BRAM),22, VIGO, Novalbos
Adrian Garcia Carceles,25, Cehegin (Murcia)," adidas skateboarding, Santa Cruz skateboards, Independent trucks, OJ wheels, SkateHastaQueMeMate."
Adrian Santos Gonzalez,21, Lanzarote Islas Canarias, Extreme Center Lanzarote
Alan Krell De Souza ( Dsouza),16, Palma de Mallorca, Kingdomskateboardshop
Alejandro Beneito Colomina ( Pelu),15, Alcoy / Alicante.," Maniak Ramps, Monduber Skateshop, Sweet madnes wear, Y ayudas de Imagine Skateboards y Universal wheels."
ALEJANDRO PEREIRA BECERRA ( ALEX),9, LA CORUÑA, ESCUELA MAROÑA INDOOR
Alejandro Vázquez Comesaña ( AlexGTi),24, Vigo," Novalbos, caramba company"
Aleksandr Golovanov ( Ruso),29, Rusia, New wave
alex fondevila ( Fonde),21, Barcelona, 
Alexis Oro Gonzalez ( Alex),15, Mallorca, Switchpeople
Alfredo Morell Romero ( Chon Gorda),24, Valencia, El rastro
Andrés Castro,21, Oviedo," Globe brand, onefoot skateshop, civis dist"
Antoni Oro Gonzalez ( El gran toni),7, Mallorca, Switchpeople
Anxo García Riobó,12, Vigo, MONDAKA
Bart Buikman,17, The Netherlands," Volcom, santa Cruz, independent, ricta, MOB, c1rca, bronson"
Bruno Marques ( Bruno),26, España, 
Bruno Torreiro Mosteiro ( Arbol),23, Villagarcia De Arosa, 
Carlos Albi Costa,19, Valencia, 
carlos valentin martin ( carlitos),16, madrid, 
Caroline Dynybil ( Caro),26," Berlin, Germany"," German Olympic Team, Stance Socks, Skate-Aid, Skatistan, Nais Berlin, 86ers.org"
Chris Khan,20, Barcelona," Sport 2002, roots skateshop, creature, mob, independent, turunflun wheels, wakefield"
Cristian Delgado alos ( Delgarap),22, Badia del Valles (Barcelona)," Adidas skateboarding , spotterwax, independent trucks, bones wheels, rufus shop ,Nomad skateboards, appartogether ,Grizzly griptape"
Damián Ferreira Vicente ( Damien),20, Vilagarcía de Arousa, 
Daniela Terol Méndez,8, Barcelona (SPAIN)," Protecciones ENNUI y tablas ""Volten Boards"""
David Parrilla Tejera,12, Mairena del Aljarafe," Jart, Globe, Vazva, Elephone Spain, Grizzly Griptape"
David Tinaquero,16, Palma de Mallorca, Ninguno
David Tinaquero De La Fuente ( No tengo),16, Palma de Mallorca, Ninguno
Edinson Azuaje ( Edi),22, Venezuela," Movimiento Ilicito, pollo ronco"
Eduardo Leite Prieto ( Prieto),23, Brasil, 
Edwin Baylere,22, France, Smooth skateboard
Eric Garrido,23, Barcelona," Tuskate, Llobregat bastards , global kite"
Esteban Caraballo ( Superman sin capa),18, Madrid, 
Francisco Jesús Rodríguez Manzano ( Chanchy),31, Almería, Birds skate shop
Francisco Rodríguez Manzano ( Chanchy),31, Almería, Birdskateshop
Gerard Balanza Calaff,21, España, 
HUGO BOLON GONZALEZ,13, SANTIAGO DE COMPOSTELA, 
Ian Campbell Bartolome,21, San Sebastian," Cruzade skateboards, Stance socks"
Ignacio García Vaño ( Fhire),32, Alcoy," Bdskateco, Maniak Ramps, Monduber Skate Shop, Rockstar Bearings, Sweet MAadness Wear, Monark Supply,"
Imán Martinez Santos ( Bonelessman),23, España, Geody Skate
Imán Martínez Santos ( Bonelessman),23, A Coruña, Geody Skate
Iván Maroño Martínez ( MAROÑA),44, República Dominicana," Cruzade skateboards, Iron Trucks, Maroña Wheels, Maroña Indoor"
Ivan Menéndez mendez ( Chucho),31, Asturias, Only Agent / Demyd shoes/ adidas
Jacquelina de Jong ( Jacky),11, Netherlands," Jart, TSG,Trust Urban , VONZIPPER"
Jaime Camilleri ( Jaimen),25, Barcelona, 
JAVIER CABREJAS BASCUÑÁN ( CABREJAS),25, TOLEDO, Southpark indoor Toledo
Jeffrey Luque bosquet,38, Córdoba," Nomad Skateboards, Etnies Shoes, Wreck Wheels, Bird Skate Shop"
Jesus Cabaleiro Casal ( Calatrava),19, Vigo, Novalbos
