name,Years,Origin,Sponsors
Jesus Cabaleiro Casal (Calatrava),19, Vigo, Novalbos
Fran Rodríguez (Chanchy),31,"Adra, Almería",Bird Skate Shop
Jeffrey Luque bosquet,38,Córdoba," Nomad Skateboards, Etnies Shoes, Wreck Wheels, Bird Skate Shop"
ABRAHAM RODRÍGUEZ GONZÁLEZ (BRAM),22,Vigo, Novalbos
Christian Estadra (Babu),23,Barcelona,ProDG
ALEJANDRO PEREIRA BECERRA (ALEX),9, LA CORUÑA, ESCUELA MAROÑA INDOOR
Renzo Gabetta ( Renzo),18, Argentino, Ninguno
Lucas Amador llopez ( Yunk),20, Valencia, Villains new balance concaos
Ignacio García Vaño ( Fhire),32, Alcoy," Bdskateco, Maniak Ramps, Monduber Skate Shop, Rockstar Bearings, Sweet MAadness Wear, Monark Supply,"
George Poole (Georgio),20,France,"RVCA Europe, Collapse skateboards, DVS Shoes, Buzzz Skateshop, Dakine Europe"
Marcelo Herrero (Purito),19,Lanzarote,Pampero
ABRAAO FILIPE SILVA,27," BRASIL, ACTUALMENTE BARCELONA"," Tuskate ,  4base"
Tim Debauche,16,"Anglet, Francia","Red Bull, Real, DC Shoes, Stance, Ricta"
Matheron Vincent,19,France,"Red Bull, DC Shoes, Volvom, Creature, Independent, Bones, Stance, Select Skateshop"
Edwin Baylere,22, France, Smooth skateboard
Aurelien Giraud,19,"Lyon, France","Nike, Plan B, Skullcandy, Nixon, GoPRO, Independent, Spitfire, Grizzly"
Pedro Miguel Pérez Romero ( El Parçe),33, Colombia - Bogotá," Switch People skateboarshop , sport2002 , santacruzskateboards"
Damián Ferreira Vicente ( Damien),20, Vilagarcía de Arousa,
Jose Manuel Hernandez Molina,26, lanzarote islas canarias, extreme center lanzarote
Adrian Santos Gonzalez,21, Lanzarote Islas Canarias, Extreme Center Lanzarote
Antoni Oro Gonzalez ( El gran toni),7, Mallorca, Switchpeople
Luis David de La Fuente Tinaquero,?,?,?
Eric Garrido,23, Barcelona," Tuskate, Llobregat bastards , global kite"
Chris Khan,20, Barcelona," Sport 2002, roots skateshop, creature, mob, independent, turunflun wheels, wakefield"
Jonathan Torres bonafe ( Jona),20, Ibiza,
Rui Soares Madeira,18,"Tomiño, Galicia (PT)",Novalbos
Victor Jawneh Gisbert ( Victor),17, Barcelona," Ninguno actualmente, ex rider hydroponic."
Miguel Angel Urbina Pons ( Urbina),41, Mallorca,
Sergio Sanchez Gil,22,"Almoradi, España","BDSKATECO, Armonía Wheels, Pearl Ramps, Dropers"
Adrián G Cárceles,25,Barcelona,"Adidas, Santa cruz, Indy, OJ, SkateHastaQueMeMate"
Cristian Delgado alos ( Delgarap),22, Badia del Valles (Barcelona)," Adidas skateboarding , spotterwax, independent trucks, bones wheels, rufus shop ,Nomad skateboards, appartogether ,Grizzly griptape"
Pol Catena (SKRTENA),20,Barcelona,"Adidas, Speedfire, Louw"
